label,text,is_valid
TRUE,Alligators and Rockets Sharing the Kennedy Space Center,FALSE
FALSE,HighAltitude Hazes on Jupiter,FALSE
FALSE,Celebrating NASAs AstronautPhysicians,FALSE
TRUE,Shining a Light on Dark Matter,FALSE
FALSE,Cygnus Says Farewell to the Space Station,FALSE
FALSE,Space Station Crew Snaps an Image of the Susquehanna River,FALSE
TRUE,NASA Optometrists Verify Mars Perseverance Rovers 2020 Vision,FALSE
TRUE,The Blue Marble The View From Apollo 17,FALSE
TRUE,Astronaut Christina Koch Services a 3D Biological Printer,FALSE
TRUE,Eagle Nebulas Pillars of Creation in Infrared,FALSE
FALSE,Station Crew Sees Typhoon from Space,FALSE
TRUE,Apollo 9 Takes the Lunar Module for a Test Drive,FALSE
TRUE,Imagining Apollo 13 on the Lunar Surface,FALSE
FALSE,Klotho and Lina,FALSE
TRUE,Life Detection Systems Branch Chief Vance Oyama Examines Apollo 11 Samples,FALSE
FALSE,Celebrating Women at NASA Aerospace Engineer Michelle Lynde,FALSE
FALSE,Iowa Native and Astronaut Raja Chari,FALSE
FALSE,Annie and John Glenn Arrive for the Gemini IV Flight,FALSE
FALSE,The Gulf Stream in Infrared,FALSE
TRUE,SpaceX Demo2 Rollout,FALSE
FALSE,Test Version of Orion Capsule Recovered in the Pacific Ocean,FALSE
FALSE,Leroy Chiao Makes a Bubble in Space,FALSE
FALSE,Nancy Grace Roman The Mother of Hubble,FALSE
TRUE,Sunrise from Launch Complex 39A,FALSE
TRUE,SpaceX Demo2 Crew Arrives at Kennedy Space Center,FALSE
TRUE,The Black Marble Our Planet in Brilliant Darkness,FALSE
TRUE,Rosette Nebula Gives Birth to Stars,FALSE
FALSE,Joe Acaba Goes from Teacher to Astronaut,FALSE
FALSE,Michun North My Everyday Extraordinary Is Helping Launch America into Space,FALSE
TRUE,Hubble Captures a Cannibal Galaxy,FALSE
TRUE,Image of a Supermoon,FALSE
TRUE,Jupiter as Never Seen Before,FALSE
TRUE,Remembering Apollo 15 Astronaut Al Worden,FALSE
TRUE,Next Space Station Crew Takes a Break From Training,FALSE
FALSE,NASA Joins the Fight Against COVID19,FALSE
FALSE,Ricky Arnold Teacher and Astronaut,FALSE
FALSE,Be An Astronaut,FALSE
FALSE,Assembling the X59 QueSST Wing,FALSE
FALSE,Viewing Our Galactic Center,FALSE
FALSE,Checkpoint OSIRISREx Practices Sample Collection,FALSE
TRUE,SpaceXs Dragon Launches to Space Station,FALSE
TRUE,Hubble Hooks a OneArm Galaxy,FALSE
FALSE,Spring Has Sprung at NASAs Armstrong Flight Research Center,FALSE
TRUE,Abell 2384 Bending the Bridge Between Two Galaxy Clusters,FALSE
FALSE,Kepler1649c EarthSize Habitable Zone Planet Hides in Plain Sight,FALSE
FALSE,Jessica Meir and Her Crewmates Return Safely from the Space Station,FALSE
FALSE,A Slice of Polar Layer Cake,FALSE
FALSE,Cardiac Research on the Space Station,FALSE
TRUE,An OtherworldlyLooking Bombetoka Bay Madagascar,FALSE
FALSE,Mars Helicopter to Fly on NASAs Next Red Planet Rover Mission,FALSE
TRUE,Hubble Spots Spirals Within a Spiral,TRUE
FALSE,Celebrating the Life of Katherine Johnson,TRUE
FALSE,30 Years of the Hubble Space Telescope,TRUE
FALSE,Sang Choi Earns a Place in NASAs Inventors Hall of Fame,TRUE
TRUE,The Crab Nebula Observations Through Time,TRUE
TRUE,Launching the Next Crew to the Space Station,TRUE
TRUE,Chemist Audrey Miyamoto Prepares Apollo 11 Sample for Analysis,TRUE
TRUE,Hubble Spies Galactic Traffic Jam,TRUE
FALSE,Tracking Methane  Sources and Movement Around the Globe,TRUE
FALSE,Denman Glacier in East Antarctica,TRUE
